epoch,freq_log2_head_loss,freq_log2_head_mae,loss,ratio_log2_head_loss,ratio_log2_head_mae,val_freq_log2_head_loss,val_freq_log2_head_mae,val_loss,val_ratio_log2_head_loss,val_ratio_log2_head_mae,learning_rate
0,0.2864478826522827,0.6304272413253784,0.7124621868133545,0.5051761865615845,0.9137539267539978,0.08974088728427887,0.33257144689559937,0.49265167117118835,0.4576498568058014,0.863936185836792,0.00019999999494757503
1,0.15495999157428741,0.4484826922416687,0.5246410965919495,0.42797449231147766,0.8212305903434753,0.08062560111284256,0.3163153827190399,0.3639242351055145,0.3237345516681671,0.6854186058044434,0.00019999999494757503
2,0.1326906532049179,0.41507071256637573,0.44792017340660095,0.36499831080436707,0.7350587248802185,0.07037279009819031,0.29733893275260925,0.30398300290107727,0.2673860788345337,0.6144178509712219,0.00019999999494757503
3,0.12326068431138992,0.39596861600875854,0.3953815698623657,0.3160524368286133,0.673004150390625,0.0651404932141304,0.29369306564331055,0.2589201331138611,0.22254852950572968,0.552068829536438,0.00019999999494757503
4,0.10759611427783966,0.3709886372089386,0.35161569714546204,0.2830880582332611,0.6297003030776978,0.05820876732468605,0.2696599066257477,0.2156895399093628,0.18144631385803223,0.5005008578300476,0.00019999999494757503
5,0.10115712136030197,0.3608146607875824,0.3187597095966339,0.2530202567577362,0.5860140919685364,0.07290825992822647,0.29971981048583984,0.21930494904518127,0.17076392471790314,0.47643932700157166,0.00019999999494757503
6,0.09639158844947815,0.3483866751194,0.30149608850479126,0.23860406875610352,0.5634764432907104,0.054642751812934875,0.26232215762138367,0.19160152971744537,0.15824784338474274,0.45886629819869995,0.00019999999494757503
7,0.09066318720579147,0.3399684727191925,0.2859339416027069,0.22704096138477325,0.5480238199234009,0.04946961626410484,0.2518654763698578,0.1642521619796753,0.13303272426128387,0.4174458682537079,0.00019999999494757503
8,0.0843619555234909,0.32763728499412537,0.2636243402957916,0.20855383574962616,0.5216713547706604,0.049218881875276566,0.25478917360305786,0.17264322936534882,0.1426069140434265,0.419999361038208,0.00019999999494757503
9,0.08674918115139008,0.33039581775665283,0.26032283902168274,0.2024981826543808,0.5135523080825806,0.05815945938229561,0.27321693301200867,0.18393854796886444,0.1462167352437973,0.4340561628341675,0.00019999999494757503
10,0.0744376927614212,0.30641454458236694,0.22774071991443634,0.17860741913318634,0.4744347631931305,0.045385029166936874,0.24067002534866333,0.16380681097507477,0.13662254810333252,0.41451898217201233,9.999999747378752e-05
11,0.07351700961589813,0.3056783676147461,0.22265085577964783,0.17387282848358154,0.47049692273139954,0.050311021506786346,0.2548484206199646,0.15092311799526215,0.11738134920597076,0.3855944573879242,9.999999747378752e-05
12,0.06856981664896011,0.29382893443107605,0.20798270404338837,0.16252200305461884,0.4527749717235565,0.04385770484805107,0.23664590716362,0.13997462391853333,0.11166967451572418,0.3692026436328888,9.999999747378752e-05
13,0.06703697890043259,0.2890017032623291,0.2018371820449829,0.1572265326976776,0.447732537984848,0.04203765466809273,0.23250818252563477,0.13112178444862366,0.10365317761898041,0.35955381393432617,9.999999747378752e-05
14,0.06909079104661942,0.29561832547187805,0.19480593502521515,0.14736036956310272,0.42968621850013733,0.041673071682453156,0.23014147579669952,0.14295555651187897,0.1171664446592331,0.3747146427631378,9.999999747378752e-05
15,0.06966443359851837,0.29481804370880127,0.19034701585769653,0.14183221757411957,0.4235447943210602,0.043872322887182236,0.23817414045333862,0.1417783945798874,0.11365922540426254,0.3713165819644928,9.999999747378752e-05
16,0.06074637919664383,0.28067252039909363,0.181325763463974,0.14072665572166443,0.41791999340057373,0.040856700390577316,0.2283172905445099,0.13943669199943542,0.11407294869422913,0.37238165736198425,4.999999873689376e-05
17,0.060019850730895996,0.27530062198638916,0.17511357367038727,0.1345510184764862,0.4101269245147705,0.039953287690877914,0.22496578097343445,0.1255885511636734,0.09958956390619278,0.34857144951820374,4.999999873689376e-05
18,0.05853226035833359,0.2714548110961914,0.1744529902935028,0.1353044956922531,0.40864571928977966,0.03871815651655197,0.22176800668239594,0.13414400815963745,0.11033070087432861,0.36279186606407166,4.999999873689376e-05
19,0.05807877704501152,0.27116677165031433,0.1634308397769928,0.1235111728310585,0.391408771276474,0.03790979087352753,0.21839626133441925,0.1224195584654808,0.09811190515756607,0.3423328101634979,4.999999873689376e-05
